city,line,start_year,end_year,rr,length,tunnel_per,tunnel,stations,ppp_rate,real_cost,cost_km_millions
Jeddah,Jeddah Metro,2014,2025,0.0,161.1,12.41%,20.0,81.0,1.435,17220,106.8901304
Doha,Doha Metro,2013,2026,0.0,124.0,89.92%,111.5,median,2.5,90000,725.8064516
Bahrain,Phase 1 (Red & Blue),2018,2023,1.0,28.6,0.00%,0.0,20.0,5.0,2265,79.1958042
Dubai,Phase 1 - Red Line,2005,2010,0.0,35.0,13.43%,4.7,29.0,1.8,7560,216.0
Dubai,Phase 2 - Green Line,2006,2010,0.0,22.5,35.11%,7.9,20.0,1.9,6840,304.0
Dubai,Phase 3 (Red Line Extension/Route 2020),2016,2020,0.0,15.0,21.33%,3.2,7.0,1.9,5510,367.3333333
Cairo,Line 1,1982,1987,1.0,44.0,14.32%,6.3,35.0,2.5,2432.5,55.28409091
Cairo,Line 2,1993,2005,0.0,22.0,43.18%,9.5,20.0,1.0,9700,440.9090909
Cairo,Line 3 Phase 1,2006,2012,0.0,4.3,100.00%,4.3,5.0,0.7142857143,3000,697.6744186
Kuwait City,Kuwait Metro,2020,2025,0.0,160.0,35.00%,56.0,68.0,1.52,30400,190.0
Tashkent,Sergeli Line,2017,2020,0.0,7.1,0.00%,7.1,6.0,5.0,711,100.1408451
Tashkent,Yunusabad Line extension,2017,2020,0.0,2.9,100.00%,2.9,2.0,5.0,624,215.1724138
Shanghai,Line 15,2015,2020,0.0,42.3,100.00%,42.3,30.0,0.266,12676.24,299.67
Shanghai,Line 14,2016,2020,0.0,38.514,100.00%,38.514,31.0,0.2729,15744.00,408.79
Shanghai,Line 16,2010,2014,0.0,58.96,23.22%,13.69,median,0.3004,5455.264,92.52
Guangzhou,Line 13 Phase 1,2013,2017,0.0,27.03,100.00%,27.03,11.0,0.2729,5195.96,192.23
Guiyang,Line 1 Phase 1,2013,2017,0.0,34.3,84.55%,29.0,25.0,0.3004,5818.75,169.64
Chengdu,Line 8 Phase 1,2016,2020,0.0,27.4,100.00%,27.4,22.0,0.239,5225.38,190.71
Chengdu,Line 9 Phase 1,2016,2020,0.0,22.2,100.00%,22.2,13.0,0.2382,4824.29,217.31
Chengdu,Line 10 Phase 2,2016,2029,0.0,26.7,38.95%,10.4,9.0,0.239,3144.36,117.77
Istanbul,M3 Phase 2,2015,2023,0.0,8.4,100.00%,8.4,7.0,3.1,1032.3,122.89
Istanbul,M4 Phase 3,2015,2020,0.0,7.5,100.00%,7.5,4.0,3.5,595,79.33
Istanbul,M8,2016,2021,0.0,14.3,100.00%,14.3,11.0,3.1,1968.5,137.66
Istanbul,M5 Phase 2-M13,2016,2022,0.0,17.8,100.00%,17.8,14.0,3.1,2036.7,114.42
Istanbul,M12,2017,2022,0.0,13.0,100.00%,13.0,9.0,3.7,3411.4,262.42
Istanbul,M11 Phase 1,2016,2021,0.0,37.5,100.00%,37.5,9.0,3.1,3503,93.41
Istanbul,M11 Phase 2,2019,2022,0.0,32.0,100.00%,32.0,7.0,3.7,3389.2,105.91
Tashkent,Sergeli Line,2017,2020,0.0,7.1,0.00%,7.1,6.0,5.0,711,100.1408451
Tashkent,Yunusabad Line extension,2017,2020,0.0,2.9,100.00%,2.9,2.0,5.0,624,215.1724138
