city,line,start_year,end_year,rr,length,tunnel_per,tunnel,stations,ppp_rate,real_cost,cost_km_millions
Tianjin,M11 Phase 1,2017,2020,0.0,25.4,100.00%,25.4,25.0,0.2583,6098.42,240.1
Shenzhen,Line 16,2018,2023,0.0,27.6,100.00%,27.6,24.0,0.239,6579.83,238.4
Guangzhou,Line 12,2018,2023,0.0,37.6,100.00%,37.6,25.0,0.239,8393.88,223.24
Beijing,Line 7 Phase 2 (Eastern Extension),2016,2020,0.0,17.2,87.21%,15.0,9.0,0.2507,3843.07,223.43
Hangzhou,Line 9 Phase 1,2017,2022,0.0,17.8,,,14.0,0.2507,3925.04,220.51
Beijing,Line 27 Phase 2 (Changping Southern Extension),2019,2021,0.0,16.6,,,8.0,0.2583,3676.05,221.45
Nanjing,Line 5,2015,2020,0.0,37.2,100.00%,37.2,29.0,0.2583,8183.93,220.0
Tianjin,B1 Phase 1,2015,2020,0.0,31.4,90.13%,28.3,22.0,0.2583,6842.68,217.92
Shenzhen,Line 14,2018,2022,0.0,51.9,100.00%,51.9,17.0,0.239,10270.08,197.88
Beijing,Line 6 Phase 1 and 2,2008,2014,0.0,42.85,100.00%,42.85,27.0,0.3174,10234.85,238.85
Changsha,Line 6 Central,2017,2021,0.0,26.5,100.00%,26.5,20.0,0.239,5344.17,201.67
Nanjing,Line 1 Northern Extension,2015,2019,0.0,7.2,93.00%,6.7,5.0,0.2583,1534.49,213.12
Hangzhou,Line 10 Phase 1,2018,2022,0.0,15.9,100.00%,15.9,13.0,0.2507,3286.29,206.68
Wuhan,Line 8 Phase 2,2018,2021,0.0,16.7,100.00%,16.7,12.0,0.2583,3557.74,213.04
Changsha,Line 7 Phase 1,2017,2021,0.0,21.6,100.00%,21.6,16.0,0.239,4333.65,200.63
Nanchang,Line 3,2015,2020,0.0,26.8,100.00%,26.8,median,0.2889,6370.99,237.72
Xiamen,Line 6,2017,2022,0.0,44.5,100.00%,44.5,27.0,0.2507,9141.14,205.42
Nanjing,Line 4 Phase 2,2016,2020,0.0,9.7,100.00%,9.7,6.0,0.2507,1979.19,204.04
Nanjing,Line 10 Phase 2,2017,2020,0.0,12.1,100.00%,12.1,7.0,0.2583,2510.98,207.52
Guangzhou,Line 14 Phase 2,2017,2021,0.0,11.6,100.00%,11.6,7.0,0.239,2269.12,195.61
Chengdu,Line 13 Phase 1,2019,2024,0.0,28.85,91.16%,26.3,19.0,0.2382,5632.21,195.22
Nanning,Line 5 Phase 1,2016,2020,0.0,20.6,100.00%,20.6,18.0,0.2583,3955.31,192.01
Guangzhou,Line 22,2017,2020,0.0,31.8,100.00%,31.8,6.0,0.239,6181.88,194.4
Guangzhou,Line 5 Eastern Extension,2018,2022,0.0,9.7,100.00%,9.7,6.0,0.239,1879.06,193.72
Hangzhou,Line 6 Phase 2,2017,2022,0.0,8.3,100.00%,8.3,6.0,0.2507,1642.02,197.83
Xiamen,Line 2 Phase 2,2016,2020,0.0,15.5,100.00%,15.5,9.0,0.2507,3062.92,197.61
Fuzhou,Line 5 Phase 1,2016,2020,0.0,24.6,100.00%,24.6,20.0,0.2583,4982.69,202.55
Nanjing,Line 9 Phase 1,2016,2020,0.0,18.0,100.00%,18.0,15.0,0.2583,3645.05,202.5
Changsha,Line 5 South Extension,2018,2022,0.0,8.43,100.00%,8.43,7.0,0.239,1607.79,190.72
Wuhan,Line 5,2017,2021,0.0,31.9,100.00%,31.9,27.0,0.2583,6448.98,202.16
Chongqing,Line 5 Northern Extension,2019,2024,0.0,8.95,100.00%,8.95,7.0,0.2379,1705.04,190.51
Beijing,Line 13A,2019,2022,0.0,30.2,60.26%,18.2,18.0,0.2382,5707.48,188.99
Changchun,Line 5 Phase 1,2020,2026,0.0,19.5,100.00%,19.5,18.0,0.2379,3658.90,187.64
Wuhan,Line 11 East,2017,2021,0.0,32.1,100.00%,32.1,20.0,0.2583,6360.11,198.13
Nanjing,Line 2 Western Extension,2017,2020,0.0,5.6,100.00%,5.6,4.0,0.2583,1105.66,197.44
Nanning,Line 2 Eastern Extension,2017,2021,0.0,6.5,100.00%,6.5,4.0,0.239,1170.65,180.1
Nanjing,Line 7,2016,2020,0.0,35.7,100.00%,35.7,25.0,0.2583,7031.77,196.97
Fuzhou,Line 4 Phase 1,2017,2021,0.0,24.2,100.00%,24.2,21.0,0.2583,4762.59,196.8
Chengdu,Line 30 Phase 1,2019,2024,0.0,24.78,100.00%,24.78,24.0,0.2382,4552.64,183.72
Beijing,Line 7 Phase 1,2009,2014,0.0,23.7,100.00%,23.7,21.0,0.266,4256.45,179.6
Nanchang,Line 4 Phase 1,2016,2021,0.0,38.2,84.29%,32.2,29.0,0.2583,7401.19,193.75
Hangzhou,Line 4 Phase 2,2017,2022,0.0,23.4,,,15.0,0.2507,4358.99,186.28
Changsha,Line 6 West,2018,2022,0.0,10.05,100.00%,10.05,7.0,0.239,1808.08,179.91
Hangzhou,Line 8 Phase 1,2018,2022,0.0,17.2,100.00%,17.2,8.0,0.2507,3168.21,184.2
Guangzhou,Line 7 Phase 2,2018,2022,0.0,21.8,100.00%,21.8,11.0,0.239,3880.26,177.99
Hangzhou,Line 3 Phase 1,2017,2021,0.0,52.2,100.00%,52.2,35.0,0.2507,9465.78,181.34
Guangzhou,Line 18,2017,2020,0.0,62.5,100.00%,62.5,9.0,0.239,11006.45,176.1
Shenyang,Line 6 Phase 1,2020,2026,0.0,36.0,,,32.0,0.2382,6276.80,174.36
Chengdu,Line 17 Phase 2,2019,2024,0.0,27.6,100.00%,27.6,17.0,0.2382,4767.51,172.74
Nanning,Line 4 Phase 1,2015,2019,0.0,21.4,100.00%,21.4,17.0,0.2583,3905.71,182.51
Nanning,Line 3 Phase1,2015,2019,0.0,27.7,100.00%,27.7,23.0,0.2583,4996.90,180.39
Guiyang,Line 3 Phase 1,2018,2023,0.0,43.135,100.00%,43.135,29.0,0.239,7539.44,174.79
Hefei,Line 5 Phase 1,2016,2020,0.0,40.3,100.00%,40.3,34.0,0.266,7561.59,187.63
Hangzhou,Line 1 Phase 3,2017,2022,0.0,11.5,100.00%,11.5,5.0,0.2507,1954.37,169.95
Kunming,Line 1 Northwestern Extension,2014,2016,0.0,7.9,100.00%,7.9,7.0,0.2729,1520.47,192.46
Chongqing,Line 10,2014,2020,0.0,44.09,81.15%,35.78,27.0,0.2379,7397.24,167.78
Nanjing,Line 6,2016,2020,0.0,34.8,100.00%,34.8,17.0,0.2583,6174.12,177.42
Hefei,Line 3 Phase 1,2014,2019,0.0,37.7,92.00%,34.6,32.0,0.266,6935.62,183.97
Nanjing,Line S8 Southern Extension,2017,2020,0.0,2.5,100.00%,2.5,2.0,0.239,408.94,163.58
Chongqing,Line 5A,2019,2024,0.0,28.96,62.57%,18.12,19.0,0.2379,4836.82,167.02
Fuzhou,Line 6,2015,2019,0.0,40.5,79.01%,32.0,20.0,0.2583,7159.91,176.79
Shanghai,Airport Contact Line,2019,2025,0.0,68.6,83.00%,56.7,9.0,0.2379,11430.54,166.63
Beijing,Line 10 North and East,2003,2008,0.0,24.64,100.00%,24.64,22.0,0.3517,4818.85,195.57
Changsha,Line 5 Phase 1,2014,2018,0.0,22.7,100.00%,22.7,18.0,0.2808,4398.48,193.77
Wuhan,Line 7 South,2016,2020,0.0,14.2,100.00%,14.2,7.0,0.2583,2479.98,174.65
Changchun,Line 7 Phase 1,2020,2025,0.0,22.5,100.00%,22.5,19.0,0.2379,3706.71,164.74
Shenyang,Line 1 Eastern Extension,2020,2025,0.0,15.0,100.00%,15.0,9.0,0.2382,2465.46,164.36
Nanjing,Line 11 Phase 1,2017,2021,0.0,27.0,95.93%,25.9,20.0,0.239,4342.97,160.85
Xiamen,Line 3 Phase 2,2016,2020,0.0,22.6,74.34%,16.8,13.0,0.239,3621.89,160.26
Hefei,Line 4 Phase 1,2015,2020,0.0,36.0,100.00%,36.0,28.0,0.266,6461.56,179.49
Guiyang,Line 2 Phase 2,2017,2022,0.0,12.8,81.25%,10.4,8.0,0.239,2025.57,158.25
Chengdu,Line 10 Phase 3,2019,2024,0.0,5.5,100.00%,5.5,4.0,0.2382,885.18,160.94
Wuhan,Line 4 Western Extension,2016,2018,0.0,4.0,85.00%,3.4,2.0,0.2583,680.44,170.11
Tianjin,Z4 Phase 1,2015,2020,0.0,43.7,34.55%,15.1,20.0,0.2583,7413.85,169.65
Beijing,Daxing Airport Express Phase 1,2016,2019,0.0,44.0,,,3.0,0.2382,6626.97,150.61
Beijing,Line 8 Phase 1 for Olympics,2005,2008,0.0,4.528,100.00%,4.528,4.0,0.3517,851.21,187.99
Changsha,Line 3 Phase 1,2012,2016,0.0,35.6,100.00%,35.6,25.0,0.2808,6635.21,186.38
